Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,509.8500061035156,513.0,501.0,506.25,501.702392578125,651385
2023-01-03,506.25,513.4000244140625,504.29998779296875,510.6000061035156,506.0133056640625,490270
2023-01-04,511.0,514.7000122070312,505.0,506.1499938964844,501.603271484375,790246
2023-01-05,506.1499938964844,524.9000244140625,504.8500061035156,515.5,510.8692932128906,2901670
2023-01-06,515.5,517.4000244140625,507.6499938964844,513.0499877929688,508.4412841796875,896307
2023-01-09,514.9000244140625,520.4500122070312,513.0999755859375,514.9500122070312,510.3242492675781,590344
2023-01-10,516.7999877929688,516.7999877929688,508.54998779296875,510.04998779296875,505.4682312011719,896497
2023-01-11,511.0,514.3499755859375,494.75,500.29998779296875,495.8058166503906,1810341
2023-01-12,496.5,503.0,490.3999938964844,501.6000061035156,497.0941467285156,1961900
2023-01-13,503.0,504.8500061035156,494.29998779296875,496.54998779296875,492.0895080566406,787686
2023-01-16,497.6499938964844,499.1499938964844,494.6000061035156,498.04998779296875,493.5760192871094,548451
2023-01-17,497.8999938964844,509.6000061035156,494.29998779296875,508.25,503.6844177246094,2178054
2023-01-18,509.0,510.0,505.3999938964844,508.04998779296875,503.4862060546875,731495
2023-01-19,507.8999938964844,508.1499938964844,500.0,501.3500061035156,496.8464050292969,978452
2023-01-20,495.3500061035156,506.6499938964844,495.3500061035156,505.20001220703125,500.6618347167969,3298721
2023-01-23,507.0,507.3500061035156,501.6000061035156,503.95001220703125,499.4230651855469,605076
2023-01-24,505.45001220703125,511.54998779296875,502.5,503.3999938964844,498.8779602050781,1246731
2023-01-25,502.45001220703125,507.04998779296875,498.25,505.3999938964844,500.8600158691406,681724
2023-01-27,506.3500061035156,509.8500061035156,497.1499938964844,503.79998779296875,499.2743835449219,1000075
2023-01-30,504.0,508.1499938964844,500.29998779296875,504.25,499.7203369140625,1213003
2023-01-31,505.75,507.1000061035156,493.5,498.1000061035156,493.6256103515625,2320622
2023-02-01,498.1000061035156,507.0,496.6499938964844,505.3500061035156,500.8104553222656,924112
2023-02-02,504.75,504.75,495.54998779296875,499.70001220703125,495.21124267578125,1173574
2023-02-03,499.70001220703125,501.1499938964844,492.1000061035156,493.8999938964844,489.46331787109375,1168245
2023-02-06,493.8999938964844,511.5,493.6000061035156,504.70001220703125,500.16632080078125,2365306
2023-02-07,508.0,508.20001220703125,493.8500061035156,497.6000061035156,493.1300964355469,1331226
2023-02-08,497.6000061035156,502.5,496.5,500.8999938964844,496.4004211425781,936630
2023-02-09,501.0,502.29998779296875,491.5,494.20001220703125,489.7606201171875,1121421
2023-02-10,495.75,496.54998779296875,492.0,495.1499938964844,490.70208740234375,665580
2023-02-13,495.1499938964844,498.6499938964844,490.6499938964844,492.0,487.58038330078125,731063
2023-02-14,493.5,498.8500061035156,491.3999938964844,494.1000061035156,489.6615295410156,1613823
2023-02-15,494.1000061035156,495.25,489.3999938964844,493.3500061035156,488.91827392578125,804095
2023-02-16,494.1000061035156,496.20001220703125,491.95001220703125,494.54998779296875,490.1074523925781,1067189
2023-02-17,493.0,497.0,488.1000061035156,489.5,485.10284423828125,864738
2023-02-20,492.25,492.29998779296875,486.0,489.04998779296875,484.6568603515625,699230
2023-02-21,494.70001220703125,501.04998779296875,491.3500061035156,500.3999938964844,495.9049377441406,1498550
2023-02-22,500.75,505.3999938964844,498.3500061035156,503.75,499.2248229980469,1412597
2023-02-23,504.0,505.0,496.20001220703125,501.0,496.4995422363281,896170
2023-02-24,502.0,503.45001220703125,495.75,498.79998779296875,494.31927490234375,399292
2023-02-27,499.5,499.5,485.1000061035156,490.1000061035156,485.69744873046875,753190
2023-02-28,492.0,495.45001220703125,486.79998779296875,491.8999938964844,487.4812927246094,1995562
2023-03-01,495.0,499.0,492.0,495.95001220703125,491.4949035644531,1161720
2023-03-02,498.0,500.04998779296875,492.6499938964844,499.0,494.51751708984375,1047352
2023-03-03,500.29998779296875,501.54998779296875,495.6000061035156,499.5,495.01300048828125,689611
2023-03-06,500.20001220703125,503.79998779296875,499.0,500.95001220703125,496.45001220703125,675747
2023-03-08,495.95001220703125,500.5,492.6000061035156,496.45001220703125,496.45001220703125,1443804
2023-03-09,497.0,497.5,492.0,492.8500061035156,492.8500061035156,779119
2023-03-10,492.0,497.5,491.1000061035156,496.6000061035156,496.6000061035156,713399
2023-03-13,494.5,499.0,489.1499938964844,490.75,490.75,1285925
2023-03-14,490.75,493.95001220703125,480.20001220703125,485.25,485.25,2082796
2023-03-15,487.79998779296875,487.8500061035156,483.0,485.6000061035156,485.6000061035156,927685
2023-03-16,485.0,491.0,482.0,488.6000061035156,488.6000061035156,1104680
2023-03-17,490.6499938964844,490.6499938964844,484.5,486.1000061035156,486.1000061035156,2448223
2023-03-20,485.0,485.0,478.3999938964844,482.29998779296875,482.29998779296875,531125
2023-03-21,483.20001220703125,484.5,479.75,481.8500061035156,481.8500061035156,699575
2023-03-22,483.20001220703125,484.8999938964844,481.45001220703125,483.8500061035156,483.8500061035156,772546
2023-03-23,482.0,482.0,476.8999938964844,479.3500061035156,479.3500061035156,1277275
2023-03-24,479.0,480.79998779296875,475.6000061035156,477.20001220703125,477.20001220703125,1031979
2023-03-27,477.20001220703125,483.0,474.3500061035156,479.75,479.75,1033080
2023-03-28,480.0,481.95001220703125,475.5,479.29998779296875,479.29998779296875,1427140
2023-03-29,478.6000061035156,480.3500061035156,470.0,472.25,472.25,1489592
2023-03-31,472.20001220703125,480.79998779296875,471.6499938964844,479.79998779296875,479.79998779296875,1655647
2023-04-03,483.25,483.25,475.8500061035156,479.70001220703125,479.70001220703125,1368272
2023-04-05,483.95001220703125,485.5,479.75,482.3999938964844,482.3999938964844,2324531
2023-04-06,483.20001220703125,483.20001220703125,478.0,479.29998779296875,479.29998779296875,757700
2023-04-10,478.0,482.3500061035156,473.29998779296875,480.5,480.5,654066
2023-04-11,480.5,482.5,478.6499938964844,479.8999938964844,479.8999938964844,1121930
2023-04-12,479.8999938964844,481.54998779296875,476.6000061035156,477.29998779296875,477.29998779296875,2239126
2023-04-13,473.1000061035156,479.3999938964844,473.1000061035156,476.79998779296875,476.79998779296875,1327298
2023-04-17,475.8500061035156,480.79998779296875,474.0,479.45001220703125,479.45001220703125,1056975
2023-04-18,480.6000061035156,482.29998779296875,476.8500061035156,480.1000061035156,480.1000061035156,1243177
2023-04-19,478.1499938964844,478.6499938964844,466.54998779296875,468.1499938964844,468.1499938964844,2834418
2023-04-20,468.0,472.6000061035156,462.70001220703125,471.75,471.75,2774048
2023-04-21,471.75,474.8500061035156,471.04998779296875,473.25,473.25,856639
2023-04-24,475.75,477.25,470.45001220703125,474.95001220703125,474.95001220703125,2043813
2023-04-25,474.95001220703125,492.45001220703125,474.5,489.75,489.75,3869120
2023-04-26,489.75,499.5,489.75,496.95001220703125,496.95001220703125,2098348
2023-04-27,499.0,499.3999938964844,492.6499938964844,497.8999938964844,497.8999938964844,1077677
2023-04-28,497.8999938964844,499.8999938964844,493.8500061035156,496.3999938964844,496.3999938964844,1293767
